2725	19	2674	0
390	19	2674	0
1556	19	2674	0
2725	24	2674	0
390	24	2674	0
1556	24	2674	0
1658	24	5256	0
921	24	5256	0
4515	24	5256	0
1922	17	4881	0
57	17	4881	0
5494	17	4881	0
682	11	349	0
3874	11	349	0
4505	11	349	0
4750	11	3425	0
5454	11	3425	0
4911	11	3425	0
4750	17	3425	0
5454	17	3425	0
4911	17	3425	0
3445	17	3425	0
539	17	3425	0
3233	17	3425	0
3445	15	3425	0
539	15	3425	0
3233	15	3425	0
3755	11	3425	0
3455	11	3425	0
4645	11	3425	0
3755	15	3425	0
3455	15	3425	0
4645	15	3425	0
356	15	3425	0
3196	15	3425	0
2507	15	3425	0
844	25	4462	0
844	25	2494	0
3764	25	4462	0
3764	25	2494	0
5249	25	4462	0
5249	25	2494	0
422	25	4462	0
422	25	2494	0
690	25	4462	0
690	25	2494	0
682	11	349	0
3874	11	349	0
4505	11	349	0
682	15	349	0
3874	15	349	0
4505	15	349	0
356	15	3425	0
3196	15	3425	0
2507	15	3425	0
3445	11	3425	0
539	11	3425	0
3233	11	3425	0
3445	17	3425	0
539	17	3425	0
3233	17	3425	0
3445	15	3425	0
539	15	3425	0
3233	15	3425	0
4750	11	860	0
2845	11	860	0
4692	11	860	0
4750	17	860	0
2845	17	860	0
4692	17	860	0
34	24	1545	0
1454	24	1545	0
3756	24	1545	0
5147	6	5693	0
5147	2	1626	0
150	15	3530	0
5147	15	3530	0
4795	15	3530	0
898	6	2779	0
28	6	2779	0
3308	6	2779	0
3249	15	3530	0
2686	15	3530	0
3748	11	651	0
2319	11	651	0
317	11	651	0
3597	11	4535	0
4559	11	4535	0
4369	11	4535	0
1922	17	4881	0
57	17	4881	0
5494	17	4881	0
465	20	4023	0
277	20	5038	0
3198	20	978	0
1839	11	2233	0
2352	33	2835	0
2352	33	5284	0
1823	33	2835	0
1823	33	5284	0
144	33	2835	0
144	33	5284	0
2352	11	2835	0
2352	11	5284	0
1823	11	2835	0
1823	11	5284	0
144	11	2835	0
144	11	5284	0
2352	13	2835	0
2352	13	5284	0
1823	13	2835	0
1823	13	5284	0
144	13	2835	0
144	13	5284	0
225	6	4793	0
225	2	1626	0
5255	11	627	0
5491	11	627	0
2221	11	627	0
407	11	2835	0
407	11	5284	0
5490	11	2835	0
5490	11	5284	0
3428	11	2835	0
3428	11	5284	0
5138	11	3010	0
1521	10	4653	0
1521	10	5445	0
1521	10	2852	0
1521	10	1705	0
1521	10	5280	0
1521	10	1461	0
1521	10	3900	0
1521	10	2139	0
1521	10	1654	0
3614	11	883	0
3614	11	807	0
3887	11	883	0
